iter	Passed	Remaining
414	2928	4128
415	2932	4117
416	2937	4107
417	2940	4094
418	2948	4087
419	2951	4076
420	2956	4066
421	2960	4054
422	2965	4044
423	2968	4033
424	2973	4023
425	2977	4011
426	2981	4001
427	2985	3990
428	2992	3982
429	2998	3974
430	3007	3970
431	3015	3964
432	3026	3963
433	3035	3958
434	3043	3952
435	3057	3955
436	3068	3952
437	3077	3948
438	3084	3941
439	3089	3932
440	3093	3920
441	3097	3910
442	3108	3907
443	3117	3904
444	3136	3912
445	3140	3901
446	3146	3892
447	3152	3884
448	3157	3874
449	3164	3867
450	3174	3863
451	3182	3858
452	3192	3854
453	3201	3850
454	3212	3847
455	3218	3839
456	3226	3834
457	3248	3844
458	3266	3849
459	3273	3843
460	3278	3832
461	3288	3829
462	3299	3827
463	3303	3816
464	3311	3810
465	3317	3801
466	3326	3796
467	3333	3789
468	3336	3777
469	3340	3766
470	3343	3755
471	3347	3744
472	3350	3732
473	3354	3722
474	3358	3712
475	3361	3701
476	3365	3689
477	3368	3678
478	3372	3667
479	3377	3659
480	3387	3655
481	3398	3652
482	3407	3647
483	3415	3641
484	3427	3639
485	3439	3638
486	3459	3643
487	3468	3639
488	3482	3639
489	3492	3635
490	3502	3630
491	3506	3620
492	3511	3610
493	3515	3600
494	3520	3591
495	3525	3582
496	3529	3572
497	3537	3566
498	3545	3559
499	3552	3552
500	3560	3546
501	3564	3535
502	3574	3531
503	3581	3524
504	3585	3514
505	3592	3507
506	3597	3498
507	3605	3491
508	3622	3494
509	3642	3499
510	3655	3498
511	3663	3492
512	3667	3481
513	3670	3470
514	3674	3460
515	3678	3450
516	3683	3441
517	3687	3431
518	3691	3421
519	3695	3410
520	3700	3402
521	3703	3391
522	3711	3384
523	3714	3374
524	3719	3365
525	3725	3357
526	3735	3352
527	3741	3344
528	3746	3335
529	3754	3329
530	3760	3321
531	3770	3316
532	3779	3311
533	3788	3306
534	3800	3302
535	3812	3300
536	3818	3292
537	3842	3300
538	3872	3311
539	3881	3306
540	3886	3297
541	3894	3290
542	3899	3282
543	3907	3275
544	3914	3268
545	3918	3258
546	3921	3247
547	3925	3237
548	3928	3227
549	3932	3217
550	3935	3206
551	3938	3196
552	3942	3186
553	3945	3176
554	3949	3166
555	3952	3156
556	3956	3146
557	3960	3137
558	3965	3128
559	3971	3120
560	3974	3110
561	3979	3101
562	3982	3091
563	3992	3086
564	3999	3079
565	4007	3072
566	4016	3067
567	4022	3059
568	4027	3050
569	4031	3040
570	4036	3032
571	4039	3022
572	4044	3013
573	4047	3004
574	4052	2995
575	4058	2987
576	4061	2977
577	4066	2969
578	4070	2959
579	4075	2951
580	4078	2941
581	4083	2932
582	4087	2923
583	4091	2914
584	4096	2905
585	4100	2896
586	4105	2888
587	4111	2880
588	4122	2876
589	4135	2873
590	4147	2870
591	4156	2864
592	4164	2858
593	4174	2853
